laureate_id,laureate_name,prize_year,title,journal,affiliation,is_prize_winning,locations_count,locations,doi,error_message
10001,"thouless, dj",2016,metastability and phase transitions in two dimensional systems,,,NO,0,[],,"can only concatenate str (not ""float"") to str"
10002,"kosterlitz, jm",2016,metastability and phase transitions in two dimensional systems,,brown university,NO,0,[],,"can only concatenate str (not ""float"") to str"
10003,"haldane, fdm",2016,yangian symmetry of integrable quantum chains with long range interactions and a new description of states in conformal field theory,physical review letters,princeton university,NO,0,[],10.1103/PhysRevLett.69.2021,'NoneType' object is not subscriptable
10006,"akasaki, isamu",2014,activation energy of mg in a plane ga1 xinx n 0 x 0 17,physica status solidi b basic solid state physics,meijo university,NO,0,[],10.1002/pssb.200880826,'affiliations'
10006,"akasaki, isamu",2014,control of p type conduction in a plane ga1 xinxn 0 x 0 10 grown on r plane sapphire substrate by metalorganic vapor phase epitaxy,journal of crystal growth,meijo university,NO,0,[],10.1016/j.jcrysgro.2008.08.005,'affiliations'
10006,"akasaki, isamu",2014,high hole concentration in mg doped a plane ga1 xinxn 0 x 0 30 grown on r plane sapphire substrate by metalorganic vapor phase epitaxy,applied physics letters,meijo university,NO,0,[],10.1063/1.3021087,'affiliations'
10006,"akasaki, isamu",2014,one sidewall seeded epitaxial lateral overgrowth of a plane gan by metalorganic vapor phase epitaxy,journal of crystal growth,meijo university,NO,0,[],10.1016/j.jcrysgro.2009.01.036,'affiliations'
10006,"akasaki, isamu",2014,mass transport of alxga1 xn,physica status solidi (a),meijo university,NO,0,[],10.1002/1521-396X(200212)194:2<485::AID-PSSA485>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-396X(200212)194:2%3C485::AID-PSSA485%3E3.0.CO;2
10007,"amano, hiroshi",2014,activation energy of mg in a plane ga1 xinx n 0 x 0 17,physica status solidi b basic solid state physics,nagoya university,NO,0,[],10.1002/pssb.200880826,'affiliations'
10007,"amano, hiroshi",2014,control of p type conduction in a plane ga1 xinxn 0 x 0 10 grown on r plane sapphire substrate by metalorganic vapor phase epitaxy,journal of crystal growth,nagoya university,NO,0,[],10.1016/j.jcrysgro.2008.08.005,'affiliations'
10007,"amano, hiroshi",2014,high hole concentration in mg doped a plane ga1 xinxn 0 x 0 30 grown on r plane sapphire substrate by metalorganic vapor phase epitaxy,applied physics letters,nagoya university,NO,0,[],10.1063/1.3021087,'affiliations'
10007,"amano, hiroshi",2014,one sidewall seeded epitaxial lateral overgrowth of a plane gan by metalorganic vapor phase epitaxy,journal of crystal growth,nagoya university,NO,0,[],10.1016/j.jcrysgro.2009.01.036,'affiliations'
10007,"amano, hiroshi",2014,mass transport of alxga1 xn,physica status solidi (a),nagoya university,NO,0,[],10.1002/1521-396X(200212)194:2<485::AID-PSSA485>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-396X(200212)194:2%3C485::AID-PSSA485%3E3.0.CO;2
10009,"englert, f",2013,dynamical symmetry breakdown in pure yang mills field theory,nuclear physics,,NO,0,[],10.1016/0550-3213(75)90046-2,'NoneType' object is not subscriptable
10011,"haroche, serge",2012,millimeter wave spectroscopy of cesium rydberg states and possible applications to frequency metrology,le journal de physique colloques,college de france,NO,0,[],10.1051/jphyscol:1981805,'NoneType' object is not subscriptable
10012,"wineland, david",2012,superposition and quantum measurement of trapped atoms,annalen der physik,national institute of standards and technology,NO,0,[],10.1002/1521-3889(200011)9:11/12<851::AID-ANDP851>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3889(200011)9:11/12%3C851::AID-ANDP851%3E3.0.CO;2
10012,"wineland, david",2012,shift of 2sl 2 hyperfine splittings due to blackbody radiation and its influence on frequency standards,le journal de physique colloques,national institute of standards and technology,NO,0,[],10.1051/jphyscol:1981835,'NoneType' object is not subscriptable
10016,"novoselov, kostya s.",2010,graphene sensors,ieee sensors journal,university of manchester,NO,0,[],,"can only concatenate str (not ""float"") to str"
10017,"geim, andre k.",2010,erratum fine structure in magnetization of individual fluxoid states phys rev lett 85 1528 2000,physical review letters,university of manchester,NO,0,[],10.17877/DE290R-16107,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.17877/DE290R-16107
10021,"nambu, yoichiro",2008,considerations on the magnetic field problem in superconducting thin films,physical review,,NO,0,[],10.2172/4150936,'NoneType' object is not subscriptable
10024,"fert, a",2007,anisotropic thermal expansion of yttrium metal and yttrium based rare earth alloys at low temperature,journal of magnetism and magnetic materials,university of paris sud,NO,0,[],10.1016/0304-8853(86)90095-8,'NoneType' object is not subscriptable
