laureate_id,laureate_name,prize_year,title,journal,affiliation,is_prize_winning,doi,error_message
20001,"stoddart, j",2016,a switchable hybrid 2 catenane based on transition metal complexation and  electron donor acceptor interactions,journal of the american chemical society,northwestern university,NO,10.1021/ja954329,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja954329
20001,"stoddart, j",2016,locking down the electronic structure of monopyrrolo tetrathiafulvalene in 2 rotaxanes,organic letters,northwestern university,NO,10.1021/ol060319,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ol060319
20001,"stoddart, j",2016,dynamic covalent chemistry,angewandte chemie,northwestern university,NO,10.1002/1521-3773(20020315)41:6<898::AID-ANIE898>3.0.CO;2-E,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3773(20020315)41:6%3C898::AID-ANIE898%3E3.0.CO;2-E
20001,"stoddart, j",2016,kinetic and thermodynamic effects in the self assembly of 3 catenanes in the solution and solid states,chemistry a european journal,northwestern university,NO,10.1002/(SICI)1521-3765(19980310)4:3<460::AID-CHEM460>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/(SICI)1521-3765(19980310)4:3%3C460::AID-CHEM460%3E3.0.CO;2
20002,"feringa, b",2016,remarkable o 2 effect in 1 4 additions of diethylzinc to 6 acyloxy 2h pyran 3 6h ones and 6 alkoxy 2h pyran 3 6h ones,organic letters,,NO,10.1021/ol005843,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ol005843
20002,"feringa, b",2016,catalytic enantioselective synthesis of prostaglandin e1 methyl ester using a tandem 1 4 addition aldol reaction to a cyclopenten 3 5 dione monoacetal,journal of the american chemical society,,NO,10.1021/ja015900,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja015900
20002,"feringa, b",2016,solvent induced charge separation in the excited states of symmetrical ethylene a direct reaction field study,journal of physical chemistry a,,NO,10.1021/jp002955,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp002955
20002,"feringa, b",2016,an optical and theoretical investigation of the ultrafast dynamics of a bisthienylethene based photochromic switch,journal of physical chemistry a,,NO,10.1021/jp020903,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp020903
20003,"sauvage, j",2016,pi pi stacking induced cooperativity in copper i complexes with phenanthroline ligands,inorganic chemistry,,NO,10.1021/ic981259,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ic981259
20003,"sauvage, j",2016,a switchable hybrid 2 catenane based on transition metal complexation and  electron donor acceptor interactions,journal of the american chemical society,,NO,10.1021/ja954329,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja954329
20003,"sauvage, j",2016,long range electronic coupling in bis cyclometalated ruthenium complexes,journal of the american chemical society,,NO,10.1021/ja974137,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja974137
20003,"sauvage, j",2016,copper i or iron ii templated synthesis of molecular knots containing two tetrahedral or octahedral coordination sites,journal of the american chemical society,,NO,10.1021/ja982239,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja982239
20003,"sauvage, j",2016,construction of one dimensional multicomponent molecular arrays control of electronic and molecular motions,european journal of inorganic chemistry,,NO,10.1002/(SICI)1099-0682(199801)1998:1<1::AID-EJIC1>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/(SICI)1099-0682(199801)1998:1%3C1::AID-EJIC1%3E3.0.CO;2
20006,"sancar, a",2015,repair of cisplatin dna adducts by the mammalian excision nuclease,biochemistry,university of north carolina at chapel hill,NO,10.1021/bi960453,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi960453
20006,"sancar, a",2015,origin of the transient electron paramagnetic resonance signals in dna photolyase,biochemistry,,NO,10.1021/bi981191,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi981191
20012,"karplus, m",2013,analysis of coupling schemes in free energy simulations a unified description of nonbonded contributions to solvation free energies,the journal of physical chemistry,,NO,10.1021/jp952332,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp952332
20013,"lefkowitz, r",2012,members of the g protein coupled receptor kinase family that phosphorylate the beta2 adrenergic receptor facilitate sequestration,biochemistry,duke university,NO,10.1021/bi952961,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi952961
20014,"kobilka, b",2012,ligand stabilization of the beta 2 adrenergic receptor effect of dtt on receptor conformation monitored by circular dichroism and fluorescence spectroscopy,biochemistry,stanford university,NO,10.1021/bi961619,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi961619
20017,"negishi, e",2010,highly chemo regio and stereoselective carbon carbon bond formation via migratory insertion reaction of zirconacyclopentene derivatives and alkyny l metals containing li and mg novel synthesis of 1 5 dienes and 1 5 enynes,journal of the american chemical society,,NO,10.1021/ja990266,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja990266
